# wavenumber,absorbance
2000.302,0.000
2000.784,-0.001
2001.266,-0.001
2001.749,-0.001
2002.231,-0.001
2002.713,-0.001
2003.195,0.001
2003.677,0.002
2004.159,0.001
2004.641,-0.001
2005.123,-0.001
2005.605,-0.001
2006.088,-0.001
2006.570,-0.001
2007.052,0.000
2007.534,0.001
2008.016,0.003
2008.498,0.003
2008.980,0.001
2009.462,-0.001
2009.944,-0.001
2010.427,-0.001
2010.909,-0.001
2011.391,-0.001
2011.873,0.001
2012.355,0.002
2012.837,0.003
2013.319,0.004
2013.801,0.001
2014.284,-0.001
2014.766,-0.001
2015.248,-0.001
2015.730,-0.001
2016.212,0.003
2016.694,0.005
2017.176,0.002
2017.658,0.003
2018.141,0.006
2018.623,0.003
2019.105,0.000
2019.587,-0.001
2020.069,0.000
2020.551,0.004
2021.033,0.005
2021.515,0.002
2021.997,0.000
2022.479,0.005
2022.962,0.009
2023.444,0.003
2023.926,-0.001
2024.408,0.001
2024.890,0.006
2025.372,0.006
2025.854,0.001
2026.336,0.000
2026.819,0.000
2027.301,0.009
2027.783,0.013
2028.265,0.003
2028.747,0.003
2029.229,0.009
2029.711,0.006
2030.193,0.001
2030.676,0.000
2031.158,-0.001
2031.640,0.002
2032.122,0.016
2032.604,0.016
2033.086,0.010
2033.568,0.012
2034.050,0.005
2034.532,0.000
2035.015,-0.001
2035.497,0.000
2035.979,-0.001
2036.461,0.008
2036.943,0.027
2037.425,0.029
2037.907,0.013
2038.389,0.003
2038.871,0.000
2039.354,0.000
2039.836,-0.001
2040.318,-0.001
2040.800,0.002
2041.282,0.026
2041.764,0.043
2042.246,0.017
2042.728,0.001
2043.211,0.000
2043.693,0.000
2044.175,0.000
2044.657,0.000
2045.139,0.004
2045.621,0.029
2046.103,0.056
2046.585,0.035
2047.068,0.006
2047.550,0.001
2048.032,0.002
2048.514,0.002
2048.996,0.003
2049.478,0.017
2049.960,0.028
2050.442,0.042
2050.924,0.052
2051.406,0.021
2051.889,0.004
2052.371,0.003
2052.853,0.003
2053.335,0.012
2053.817,0.030
2054.299,0.020
2054.781,0.024
2055.263,0.061
2055.746,0.047
2056.228,0.012
2056.710,0.007
2057.192,0.011
2057.674,0.032
2058.156,0.029
2058.638,0.011
2059.120,0.014
2059.603,0.060
2060.085,0.071
2060.567,0.023
2061.049,0.008
2061.531,0.026
2062.013,0.031
2062.495,0.011
2062.977,0.004
2063.459,0.007
2063.942,0.050
2064.424,0.093
2064.906,0.047
2065.388,0.028
2065.870,0.033
2066.352,0.012
2066.834,0.003
2067.316,0.002
2067.798,0.003
2068.281,0.038
2068.763,0.104
2069.245,0.084
2069.727,0.038
2070.209,0.012
2070.691,0.001
2071.173,0.001
2071.655,0.001
2072.137,0.002
2072.620,0.034
2073.102,0.131
2073.584,0.120
2074.066,0.029
2074.548,0.003
2075.030,0.000
2075.512,0.001
2075.994,0.001
2076.477,0.004
2076.959,0.051
2077.441,0.158
2077.923,0.121
2078.405,0.026
2078.887,0.004
2079.369,0.001
2079.851,0.002
2080.333,0.004
2080.816,0.023
2081.298,0.063
2081.780,0.147
2082.262,0.128
2082.744,0.032
2083.226,0.005
2083.708,0.001
2084.190,0.006
2084.673,0.021
2085.155,0.025
2085.637,0.049
2086.119,0.158
2086.601,0.139
2087.083,0.035
2087.565,0.006
2088.047,0.008
2088.530,0.019
2089.011,0.016
2089.494,0.011
2089.976,0.062
2090.458,0.186
2090.940,0.141
2091.422,0.032
2091.904,0.011
2092.386,0.012
2092.868,0.009
2093.351,0.006
2093.833,0.014
2094.315,0.089
2094.797,0.214
2095.279,0.129
2095.761,0.029
2096.243,0.007
2096.725,0.005
2097.208,0.006
2097.690,0.007
2098.172,0.025
2098.654,0.136
2099.136,0.241
2099.618,0.116
2100.100,0.026
2100.582,0.008
2101.064,0.007
2101.547,0.006
2102.029,0.009
2102.511,0.053
2102.993,0.205
2103.475,0.223
2103.957,0.070
2104.439,0.015
2104.921,0.008
2105.404,0.007
2105.886,0.009
2106.368,0.032
2106.850,0.130
2107.332,0.277
2107.814,0.167
2108.296,0.040
2108.778,0.011
2109.260,0.009
2109.743,0.018
2110.225,0.036
2110.707,0.064
2111.189,0.193
2111.671,0.259
2112.153,0.098
2112.635,0.022
2113.117,0.017
2113.600,0.032
2114.082,0.034
2114.564,0.027
2115.046,0.107
2115.528,0.272
2116.010,0.180
2116.492,0.051
2116.974,0.034
2117.457,0.037
2117.938,0.020
2118.421,0.013
2118.903,0.055
2119.385,0.215
2119.867,0.260
2120.349,0.106
2120.831,0.049
2121.313,0.023
2121.795,0.010
2122.278,0.009
2122.760,0.030
2123.242,0.149
2123.724,0.294
2124.206,0.164
2124.688,0.045
2125.170,0.011
2125.652,0.008
2126.135,0.008
2126.617,0.024
2127.099,0.109
2127.581,0.263
2128.063,0.170
2128.545,0.041
2129.027,0.010
2129.509,0.008
2129.991,0.012
2130.474,0.028
2130.956,0.097
2131.438,0.240
2131.920,0.186
2132.402,0.050
2132.884,0.012
2133.366,0.013
2133.848,0.022
2134.331,0.034
2134.813,0.058
2135.295,0.174
2135.777,0.175
2136.259,0.053
2136.741,0.015
2137.223,0.021
2137.705,0.026
2138.188,0.012
2138.669,0.029
2139.152,0.124
2139.634,0.139
2140.116,0.046
2140.598,0.024
2141.080,0.019
2141.562,0.007
2142.044,0.002
2142.526,0.003
2143.009,0.004
2143.491,0.010
2143.973,0.019
2144.455,0.012
2144.937,0.004
2145.419,0.003
2145.901,0.006
2146.383,0.039
2146.865,0.144
2147.348,0.136
2147.830,0.035
2148.312,0.008
2148.794,0.006
2149.276,0.008
2149.758,0.014
2150.240,0.085
2150.722,0.214
2151.205,0.150
2151.687,0.036
2152.169,0.013
2152.651,0.009
2153.133,0.017
2153.615,0.031
2154.097,0.125
2154.579,0.250
2155.062,0.138
2155.544,0.032
2156.026,0.016
2156.508,0.018
2156.990,0.016
2157.472,0.044
2157.954,0.194
2158.436,0.261
2158.918,0.102
2159.401,0.030
2159.883,0.016
2160.365,0.011
2160.847,0.018
2161.329,0.095
2161.811,0.272
2162.293,0.220
2162.775,0.063
2163.258,0.018
2163.740,0.011
2164.222,0.014
2164.704,0.041
2165.186,0.183
2165.668,0.297
2166.150,0.131
2166.632,0.031
2167.115,0.014
2167.596,0.013
2168.079,0.023
2168.561,0.104
2169.043,0.283
2169.525,0.220
2170.007,0.061
2170.489,0.018
2170.971,0.013
2171.453,0.017
2171.936,0.053
2172.418,0.213
2172.900,0.281
2173.382,0.106
2173.864,0.026
2174.346,0.015
2174.828,0.013
2175.310,0.030
2175.792,0.147
2176.275,0.293
2176.757,0.155
2177.239,0.037
2177.721,0.014
2178.203,0.012
2178.685,0.020
2179.167,0.102
2179.649,0.269
2180.132,0.190
2180.614,0.049
2181.096,0.015
2181.578,0.010
2182.060,0.015
2182.542,0.075
2183.024,0.238
2183.506,0.208
2183.989,0.059
2184.471,0.015
2184.953,0.010
2185.435,0.012
2185.917,0.059
2186.399,0.210
2186.881,0.207
2187.363,0.061
2187.845,0.014
2188.328,0.008
2188.810,0.010
2189.292,0.053
2189.774,0.193
2190.256,0.191
2190.738,0.055
2191.220,0.012
2191.702,0.007
2192.184,0.009
2192.667,0.053
2193.149,0.184
2193.631,0.166
2194.113,0.044
2194.595,0.009
2195.077,0.005
2195.559,0.009
2196.041,0.060
2196.523,0.178
2197.006,0.130
2197.488,0.030
2197.970,0.006
2198.452,0.004
2198.934,0.010
2199.416,0.076
2199.898,0.167
2200.380,0.090
2200.863,0.016
2201.345,0.004
2201.827,0.003
2202.309,0.016
2202.791,0.097
2203.273,0.141
2203.755,0.051
2204.237,0.007
2204.719,0.002
2205.202,0.003
2205.684,0.032
2206.166,0.115
2206.648,0.096
2207.130,0.021
2207.612,0.003
2208.094,0.001
2208.576,0.006
2209.059,0.059
2209.541,0.109
2210.023,0.048
2210.505,0.006
2210.987,0.001
2211.469,0.001
2211.951,0.021
2212.433,0.083
2212.916,0.071
2213.397,0.015
2213.880,0.001
2214.362,0.000
2214.844,0.006
2215.326,0.050
2215.808,0.075
2216.290,0.026
2216.772,0.002
2217.254,-0.001
2217.737,0.001
2218.219,0.026
2218.701,0.064
2219.183,0.034
2219.665,0.004
2220.147,0.000
2220.629,0.000
2221.111,0.013
2221.594,0.049
2222.076,0.037
2222.558,0.006
2223.040,0.000
2223.522,0.000
2224.004,0.007
2224.486,0.037
2224.968,0.034
2225.450,0.007
2225.933,-0.001
2226.415,-0.001
2226.897,0.004
2227.379,0.027
2227.861,0.028
2228.343,0.006
2228.825,-0.001
2229.307,-0.001
2229.790,0.003
2230.272,0.022
2230.754,0.022
2231.236,0.004
2231.718,-0.001
2232.200,-0.001
2232.682,0.003
2233.164,0.017
2233.646,0.015
2234.129,0.002
2234.611,-0.001
2235.093,-0.001
2235.575,0.004
2236.057,0.014
2236.539,0.010
2237.021,0.000
2237.503,-0.001
2237.986,-0.001
2238.468,0.005
2238.950,0.010
2239.432,0.004
2239.914,-0.001
2240.396,-0.001
2240.878,0.000
2241.360,0.005
2241.843,0.006
2242.324,0.001
2242.807,-0.001
2243.289,-0.001
2243.771,0.000
2244.253,0.004
2244.735,0.002
2245.217,0.000
2245.699,-0.001
2246.181,-0.001
2246.664,0.001
2247.146,0.002
2247.628,0.000
2248.110,-0.001
2248.592,-0.001
2249.074,0.000
2249.556,0.001
2250.038,0.001
2250.521,0.000
2251.003,-0.001
2251.485,-0.001
2251.967,0.000
2252.449,0.000
2252.931,0.000
2253.413,0.000
2253.895,0.000
2254.377,0.000
2254.860,0.000
2255.342,0.000
2255.824,0.000
2256.306,0.000
2256.788,0.000
2257.270,0.000
2257.752,0.000
2258.234,0.000
2258.717,0.000
2259.198,0.001
2259.681,0.000
2260.163,0.000
2260.645,0.000
2261.127,0.000
2261.609,0.000
2262.091,0.000
2262.573,0.000
2263.055,0.000
2263.538,0.000
2264.020,0.000
2264.502,0.000
2264.984,0.000
2265.466,0.000
2265.948,0.000
2266.430,0.000
2266.912,0.000
2267.395,0.000
2267.877,0.000
2268.359,0.000
2268.841,0.000
2269.323,0.000
2269.805,0.000
2270.287,0.000
2270.769,0.000
2271.251,0.000
2271.734,0.000
2272.216,0.000
2272.698,0.000
2273.180,0.000
2273.662,0.000
2274.144,0.000
2274.626,0.000
2275.108,0.000
2275.591,0.000
2276.073,0.000
2276.555,0.000
2277.037,0.000
2277.519,0.000
2278.001,0.000
2278.483,0.000
2278.965,0.000
2279.448,0.000
2279.930,0.000
2280.412,0.000
2280.894,0.000
2281.376,0.000
2281.858,0.000
2282.340,0.000
2282.822,0.000
2283.304,0.000
2283.787,0.000
2284.269,0.000
2284.751,0.000
2285.233,0.000
2285.715,-0.001
2286.197,0.000
2286.679,0.000
2287.161,0.000
2287.644,0.000
2288.125,0.000
2288.608,0.000
2289.090,0.000
2289.572,0.000
2290.054,0.000
2290.536,0.000
2291.018,0.000
2291.500,0.000
2291.982,0.000
2292.465,0.000
2292.947,0.000
2293.429,0.000
2293.911,0.000
2294.393,0.000
2294.875,0.001
2295.357,0.001
2295.839,0.000
2296.322,0.000
2296.804,0.000
2297.286,0.000
2297.768,0.001
2298.250,0.000
2298.732,0.000
2299.214,0.000
2299.696,0.000
2300.178,0.000
