    nu /cm-1      S /cm  J"  J'
    3.845033  1.142e-25   0   1
    7.689920  9.081e-25   1   2
   11.534513  3.033e-24   2   3
   15.378665  7.085e-24   3   4
   19.222229  1.358e-23   4   5
   23.065059  2.295e-23   5   6
   26.907008  3.548e-23   6   7
   30.747928  5.134e-23   7   8
   34.587674  7.059e-23   8   9
   38.426098  9.306e-23   9  10
   42.263054  1.187e-22  10  11
   46.098394  1.469e-22  11  12
   49.931973  1.773e-22  12  13
   53.763644  2.094e-22  13  14
   57.593260  2.426e-22  14  15
   61.420675  2.762e-22  15  16
   65.245742  3.094e-22  16  17
   69.068315  3.416e-22  17  18
   72.888248  3.722e-22  18  19
   76.705394  4.005e-22  19  20
   80.519608  4.259e-22  20  21
   84.330743  4.480e-22  21  22
   88.138653  4.663e-22  22  23
   91.943193  4.806e-22  23  24
   95.744217  4.907e-22  24  25
   99.541579  4.967e-22  25  26
  103.335134  4.982e-22  26  27
  107.124736  4.958e-22  27  28
  110.910239  4.893e-22  28  29
  114.691499  4.792e-22  29  30
  118.468370  4.657e-22  30  31
  122.240707  4.495e-22  31  32
  126.008365  4.307e-22  32  33
  129.771201  4.097e-22  33  34
  133.529068  3.870e-22  34  35
  137.281823  3.633e-22  35  36
  141.029322  3.387e-22  36  37
  144.771419  3.139e-22  37  38
  148.507971  2.888e-22  38  39
  152.238834  2.642e-22  39  40
  155.963864  2.402e-22  40  41
  159.682917  2.170e-22  41  42
  163.395850  1.949e-22  42  43
  167.102520  1.739e-22  43  44
  170.802784  1.544e-22  44  45
  174.496498  1.362e-22  45  46
  178.183520  1.194e-22  46  47
  181.863706  1.042e-22  47  48
  185.536915  9.027e-23  48  49
  189.203004  7.780e-23  49  50
  192.861831  6.669e-23  50  51
  196.513254  5.682e-23  51  52
  200.157132  4.814e-23  52  53
  203.793322  4.056e-23  53  54
  207.421683  3.397e-23  54  55
  211.042074  2.829e-23  55  56
  214.654353  2.342e-23  56  57
  218.258381  1.929e-23  57  58
  221.854016  1.578e-23  58  59
  225.441118  1.285e-23  59  60
  229.019547  1.039e-23  60  61
  232.589162  8.361e-24  61  62
  236.149823  6.681e-24  62  63
  239.701392  5.310e-24  63  64
  243.243728  4.194e-24  64  65
  246.776692  3.292e-24  65  66
  250.300145  2.567e-24  66  67
  253.813948  1.989e-24  67  68
  257.317962  1.531e-24  68  69
  260.812050  1.171e-24  69  70
  264.296072  8.896e-25  70  71
  267.769892  6.708e-25  71  72
  271.233369  5.022e-25  72  73
  274.686368  3.730e-25  73  74
  278.128751  2.749e-25  74  75
  281.560380  2.010e-25  75  76
  284.981119  1.457e-25  76  77
  288.390830  1.047e-25  77  78
  291.789378  7.441e-26  78  79
  295.176625  5.237e-26  79  80
  298.552435  3.646e-26  80  81
