# Converted from NIST Webbook 156-59-2-IR.jdx
# cm-1, transmittance
391, 0.850
392, 0.850
393, 0.849
394, 0.849
395, 0.849
396, 0.849
397, 0.848
398, 0.848
399, 0.848
400, 0.847
401, 0.847
402, 0.847
403, 0.846
404, 0.846
405, 0.846
406, 0.845
407, 0.845
408, 0.845
409, 0.845
410, 0.845
411, 0.845
412, 0.844
413, 0.844
414, 0.844
415, 0.844
416, 0.844
417, 0.844
418, 0.844
419, 0.843
420, 0.843
421, 0.843
422, 0.843
423, 0.843
424, 0.843
425, 0.843
426, 0.843
427, 0.843
428, 0.843
429, 0.843
430, 0.843
431, 0.843
432, 0.843
433, 0.843
434, 0.843
435, 0.843
436, 0.843
437, 0.843
438, 0.844
439, 0.844
440, 0.844
441, 0.844
442, 0.844
443, 0.844
444, 0.844
445, 0.844
446, 0.844
447, 0.844
448, 0.844
449, 0.844
450, 0.844
451, 0.844
452, 0.844
453, 0.844
454, 0.844
455, 0.844
456, 0.844
457, 0.844
458, 0.844
459, 0.844
460, 0.844
461, 0.844
462, 0.844
463, 0.845
464, 0.845
465, 0.845
466, 0.845
467, 0.845
468, 0.844
469, 0.844
470, 0.844
471, 0.844
472, 0.842
473, 0.844
474, 0.844
475, 0.844
476, 0.844
477, 0.844
478, 0.844
479, 0.844
480, 0.844
481, 0.843
482, 0.843
483, 0.843
484, 0.842
485, 0.842
486, 0.842
487, 0.841
488, 0.841
489, 0.841
490, 0.840
491, 0.840
492, 0.839
493, 0.838
494, 0.838
495, 0.837
496, 0.837
497, 0.836
498, 0.836
499, 0.835
500, 0.834
501, 0.834
502, 0.834
503, 0.833
504, 0.833
505, 0.832
506, 0.832
507, 0.831
508, 0.831
509, 0.830
510, 0.830
511, 0.829
512, 0.829
513, 0.829
514, 0.828
515, 0.828
516, 0.828
517, 0.827
518, 0.827
519, 0.827
520, 0.826
521, 0.826
522, 0.826
523, 0.825
524, 0.825
525, 0.825
526, 0.825
527, 0.824
528, 0.824
529, 0.824
530, 0.824
531, 0.824
532, 0.824
533, 0.823
534, 0.823
535, 0.823
536, 0.823
537, 0.823
538, 0.823
539, 0.823
540, 0.823
541, 0.823
542, 0.822
543, 0.821
544, 0.821
545, 0.820
546, 0.819
547, 0.817
548, 0.816
549, 0.814
550, 0.812
551, 0.808
552, 0.800
553, 0.792
554, 0.784
555, 0.776
556, 0.766
557, 0.755
558, 0.739
559, 0.717
560, 0.650
561, 0.574
562, 0.498
563, 0.466
564, 0.464
565, 0.464
566, 0.466
567, 0.475
568, 0.490
569, 0.504
570, 0.519
571, 0.525
572, 0.506
573, 0.452
574, 0.453
575, 0.496
576, 0.560
577, 0.534
578, 0.493
579, 0.453
580, 0.447
581, 0.448
582, 0.505
583, 0.555
584, 0.604
585, 0.653
586, 0.703
587, 0.752
588, 0.783
589, 0.798
590, 0.811
591, 0.825
592, 0.831
593, 0.835
594, 0.837
595, 0.838
596, 0.839
597, 0.839
598, 0.840
599, 0.840
600, 0.840
601, 0.840
602, 0.840
603, 0.841
604, 0.841
605, 0.841
606, 0.841
607, 0.842
608, 0.842
609, 0.842
610, 0.843
611, 0.843
612, 0.844
613, 0.844
614, 0.845
615, 0.845
616, 0.845
617, 0.846
618, 0.847
619, 0.848
620, 0.849
621, 0.850
622, 0.851
623, 0.851
624, 0.852
625, 0.853
626, 0.852
627, 0.854
628, 0.855
629, 0.855
630, 0.856
631, 0.857
632, 0.857
633, 0.858
634, 0.858
635, 0.859
636, 0.859
637, 0.859
638, 0.859
639, 0.859
640, 0.859
641, 0.858
642, 0.858
643, 0.857
644, 0.855
645, 0.852
646, 0.849
647, 0.845
648, 0.840
649, 0.835
650, 0.831
651, 0.824
652, 0.817
653, 0.810
654, 0.804
655, 0.795
656, 0.786
657, 0.777
658, 0.767
659, 0.757
660, 0.747
661, 0.732
662, 0.713
663, 0.636
664, 0.619
665, 0.601
666, 0.571
667, 0.477
668, 0.384
669, 0.329
670, 0.302
671, 0.276
672, 0.249
673, 0.220
674, 0.200
675, 0.181
676, 0.165
677, 0.151
678, 0.142
679, 0.132
680, 0.123
681, 0.112
682, 0.099
683, 0.092
684, 0.090
685, 0.087
686, 0.088
687, 0.088
688, 0.089
689, 0.089
690, 0.090
691, 0.090
692, 0.091
693, 0.086
694, 0.082
695, 0.068
696, 0.049
697, 0.029
698, 0.010
699, 0.001
700, 0.009
701, 0.081
702, 0.081
703, 0.079
704, 0.071
705, 0.063
706, 0.061
707, 0.061
708, 0.061
709, 0.061
710, 0.063
711, 0.065
712, 0.067
713, 0.070
714, 0.073
715, 0.082
716, 0.094
717, 0.106
718, 0.119
719, 0.131
720, 0.143
721, 0.155
722, 0.168
723, 0.180
724, 0.181
725, 0.181
726, 0.180
727, 0.176
728, 0.171
729, 0.166
730, 0.162
731, 0.161
732, 0.165
733, 0.193
734, 0.220
735, 0.248
736, 0.276
737, 0.303
738, 0.331
739, 0.359
740, 0.390
741, 0.412
742, 0.425
743, 0.438
744, 0.451
745, 0.463
746, 0.476
747, 0.489
748, 0.502
749, 0.516
750, 0.537
751, 0.559
752, 0.591
753, 0.619
754, 0.654
755, 0.707
756, 0.736
757, 0.759
758, 0.775
759, 0.790
760, 0.806
761, 0.823
762, 0.839
763, 0.854
764, 0.871
765, 0.885
766, 0.890
767, 0.894
768, 0.898
769, 0.901
770, 0.904
771, 0.907
772, 0.909
773, 0.911
774, 0.913
775, 0.915
776, 0.916
777, 0.917
778, 0.918
779, 0.918
780, 0.919
781, 0.919
782, 0.919
783, 0.918
784, 0.919
785, 0.919
786, 0.918
787, 0.918
788, 0.918
789, 0.917
790, 0.917
791, 0.916
792, 0.915
793, 0.914
794, 0.913
795, 0.911
796, 0.909
797, 0.907
798, 0.904
799, 0.902
800, 0.899
801, 0.895
802, 0.891
803, 0.887
804, 0.883
805, 0.878
806, 0.873
807, 0.867
808, 0.862
809, 0.856
810, 0.849
811, 0.841
812, 0.833
813, 0.824
814, 0.816
815, 0.807
816, 0.799
817, 0.770
818, 0.735
819, 0.699
820, 0.663
821, 0.628
822, 0.596
823, 0.592
824, 0.593
825, 0.594
826, 0.595
827, 0.599
828, 0.606
829, 0.608
830, 0.609
831, 0.609
832, 0.608
833, 0.590
834, 0.573
835, 0.566
836, 0.562
837, 0.566
838, 0.574
839, 0.577
840, 0.576
841, 0.529
842, 0.456
843, 0.383
844, 0.306
845, 0.253
846, 0.200
847, 0.147
848, 0.094
849, 0.017
850, 0.006
851, 0.004
852, 0.004
853, 0.004
854, 0.004
855, 0.003
856, 0.003
857, 0.003
858, 0.003
859, 0.003
860, 0.002
861, 0.004
862, 0.004
863, 0.004
864, 0.004
865, 0.004
866, 0.004
867, 0.005
868, 0.006
869, 0.007
870, 0.009
871, 0.059
872, 0.140
873, 0.221
874, 0.302
875, 0.384
876, 0.465
877, 0.546
878, 0.627
879, 0.709
880, 0.790
881, 0.800
882, 0.823
883, 0.833
884, 0.839
885, 0.841
886, 0.842
887, 0.843
888, 0.844
889, 0.844
890, 0.844
891, 0.844
892, 0.844
893, 0.844
894, 0.843
895, 0.843
896, 0.841
897, 0.840
898, 0.838
899, 0.827
900, 0.805
901, 0.793
902, 0.792
903, 0.812
904, 0.851
905, 0.853
906, 0.853
907, 0.853
908, 0.853
909, 0.852
910, 0.851
911, 0.851
912, 0.850
913, 0.850
914, 0.849
915, 0.848
916, 0.849
917, 0.849
918, 0.850
919, 0.851
920, 0.852
921, 0.853
922, 0.854
923, 0.855
924, 0.857
925, 0.858
926, 0.860
927, 0.861
928, 0.863
929, 0.865
930, 0.866
931, 0.868
932, 0.869
933, 0.870
934, 0.871
935, 0.872
936, 0.873
937, 0.874
938, 0.874
939, 0.875
940, 0.876
941, 0.877
942, 0.878
943, 0.879
944, 0.880
945, 0.881
946, 0.882
947, 0.883
948, 0.884
949, 0.884
950, 0.885
951, 0.886
952, 0.886
953, 0.887
954, 0.887
955, 0.887
956, 0.887
957, 0.887
958, 0.887
959, 0.887
960, 0.887
961, 0.887
962, 0.887
963, 0.887
964, 0.887
965, 0.887
966, 0.886
967, 0.886
968, 0.885
969, 0.885
970, 0.884
971, 0.884
972, 0.883
973, 0.883
974, 0.882
975, 0.882
976, 0.882
977, 0.881
978, 0.881
979, 0.881
980, 0.880
981, 0.880
982, 0.880
983, 0.879
984, 0.879
985, 0.879
986, 0.878
987, 0.878
988, 0.878
989, 0.878
990, 0.877
991, 0.877
992, 0.877
993, 0.877
994, 0.877
995, 0.877
996, 0.876
997, 0.876
998, 0.876
999, 0.876
1000, 0.876
1001, 0.875
1002, 0.875
1003, 0.875
1004, 0.875
1005, 0.875
1006, 0.875
1007, 0.874
1008, 0.874
1009, 0.874
1010, 0.873
1011, 0.873
1012, 0.872
1013, 0.872
1014, 0.871
1015, 0.871
1016, 0.871
1017, 0.870
1018, 0.870
1019, 0.870
1020, 0.869
1021, 0.869
1022, 0.869
1023, 0.868
1024, 0.868
1025, 0.868
1026, 0.868
1027, 0.868
1028, 0.868
1029, 0.869
1030, 0.869
1031, 0.869
1032, 0.870
1033, 0.871
1034, 0.871
1035, 0.872
1036, 0.873
1037, 0.875
1038, 0.876
1039, 0.878
1040, 0.879
1041, 0.879
1042, 0.880
1043, 0.881
1044, 0.881
1045, 0.882
1046, 0.882
1047, 0.883
1048, 0.883
1049, 0.883
1050, 0.884
1051, 0.884
1052, 0.884
1053, 0.885
1054, 0.885
1055, 0.884
1056, 0.884
1057, 0.884
1058, 0.881
1059, 0.884
1060, 0.884
1061, 0.884
1062, 0.884
1063, 0.884
1064, 0.884
1065, 0.883
1066, 0.883
1067, 0.883
1068, 0.883
1069, 0.882
1070, 0.882
1071, 0.882
1072, 0.881
1073, 0.881
1074, 0.881
1075, 0.881
1076, 0.880
1077, 0.880
1078, 0.880
1079, 0.879
1080, 0.879
1081, 0.879
1082, 0.878
1083, 0.877
1084, 0.876
1085, 0.875
1086, 0.873
1087, 0.871
