# Converted from NIST Webbook 156-60-5-IR.jdx
# cm-1, transmittance
450, 1.000
454, 0.982
458, 0.995
462, 0.972
466, 0.991
470, 0.982
474, 0.983
478, 0.981
482, 0.979
486, 0.982
490, 0.986
494, 0.994
498, 0.988
502, 0.990
506, 0.982
510, 0.990
514, 0.991
518, 0.994
522, 0.992
526, 0.993
530, 0.992
534, 0.986
538, 0.987
542, 0.982
546, 0.982
550, 0.979
554, 0.982
558, 0.978
562, 0.977
566, 0.981
570, 0.981
574, 0.981
578, 0.981
582, 0.984
586, 0.990
590, 0.982
594, 0.979
598, 0.982
602, 0.986
606, 0.985
610, 0.992
614, 0.983
618, 0.988
622, 0.984
626, 0.988
630, 0.983
634, 0.990
638, 0.987
642, 0.987
646, 0.988
650, 0.985
654, 0.990
658, 0.981
662, 0.994
666, 0.977
670, 0.987
674, 0.975
678, 0.987
682, 0.979
686, 0.982
690, 0.980
694, 0.974
698, 0.979
702, 0.983
706, 0.983
710, 0.980
714, 0.986
718, 0.982
722, 0.984
726, 0.982
730, 0.985
734, 0.983
738, 0.975
742, 0.971
746, 0.956
750, 0.945
754, 0.930
758, 0.942
762, 0.939
766, 0.935
770, 0.940
774, 0.953
778, 0.957
782, 0.964
786, 0.954
790, 0.911
794, 0.827
798, 0.672
802, 0.451
806, 0.228
810, 0.086
814, 0.034
818, 0.018
822, 0.016
826, 0.011
830, 0.019
834, 0.033
838, 0.353
842, 0.719
846, 0.738
850, 0.713
854, 0.687
858, 0.658
862, 0.633
866, 0.618
870, 0.595
874, 0.585
878, 0.553
882, 0.546
886, 0.540
890, 0.517
894, 0.468
898, 0.368
902, 0.445
906, 0.568
910, 0.490
914, 0.517
918, 0.511
922, 0.539
926, 0.552
930, 0.585
934, 0.623
938, 0.649
942, 0.691
946, 0.720
950, 0.770
954, 0.793
958, 0.829
962, 0.845
966, 0.867
970, 0.880
974, 0.903
978, 0.911
982, 0.898
986, 0.909
990, 0.938
994, 0.960
998, 0.968
1002, 0.975
1006, 0.975
1010, 0.974
1014, 0.975
1018, 0.972
1022, 0.974
1026, 0.971
1030, 0.973
1034, 0.969
1038, 0.974
1042, 0.973
1046, 0.976
1050, 0.974
1054, 0.974
1058, 0.977
1062, 0.972
1066, 0.972
1070, 0.968
1074, 0.972
1078, 0.967
1082, 0.970
1086, 0.971
1090, 0.970
1094, 0.970
1098, 0.968
1102, 0.968
1106, 0.966
1110, 0.970
1114, 0.969
1118, 0.971
1122, 0.968
1126, 0.969
1130, 0.967
1134, 0.963
1138, 0.960
1142, 0.955
1146, 0.952
1150, 0.940
1154, 0.937
1158, 0.930
1162, 0.926
1166, 0.919
1170, 0.916
1174, 0.912
1178, 0.903
1182, 0.885
1186, 0.815
1190, 0.678
1194, 0.521
1198, 0.538
1202, 0.603
1206, 0.501
1210, 0.476
1214, 0.643
1218, 0.808
1222, 0.888
1226, 0.906
1230, 0.914
1234, 0.921
1238, 0.929
1242, 0.933
1246, 0.939
1250, 0.947
1254, 0.951
1258, 0.957
1262, 0.960
1266, 0.966
1270, 0.969
1274, 0.971
1278, 0.973
1282, 0.973
1286, 0.975
1290, 0.975
1294, 0.975
1298, 0.975
1302, 0.975
1306, 0.975
1310, 0.975
1314, 0.975
1318, 0.976
1322, 0.976
1326, 0.975
1330, 0.975
1334, 0.975
1338, 0.979
1342, 0.979
1346, 0.976
1350, 0.978
1354, 0.976
1358, 0.979
1362, 0.978
1366, 0.982
1370, 0.975
1374, 0.984
1378, 0.977
1382, 0.980
1386, 0.976
1390, 0.981
1394, 0.981
1398, 0.982
1402, 0.979
1406, 0.979
1410, 0.978
1414, 0.975
1418, 0.985
1422, 0.979
1426, 0.978
1430, 0.977
1434, 0.978
1438, 0.979
1442, 0.976
1446, 0.974
1450, 0.978
1454, 0.975
1458, 0.987
1462, 0.983
1466, 0.967
1470, 0.984
1474, 0.979
1478, 0.977
1482, 0.972
1486, 0.979
1490, 0.974
1494, 0.976
1498, 0.981
1502, 0.973
1506, 0.980
1510, 0.993
1514, 0.973
1518, 0.985
1522, 0.988
1526, 0.980
1530, 0.978
1534, 0.974
1538, 0.988
1542, 0.977
1546, 0.987
1550, 0.967
1554, 0.982
1558, 0.973
1562, 0.991
1566, 0.967
1570, 0.977
1574, 0.967
1578, 0.982
1582, 0.960
1586, 0.971
1590, 0.967
1594, 0.965
1598, 0.966
1602, 0.964
1606, 0.967
1610, 0.956
1614, 0.970
1618, 0.956
1622, 0.963
1626, 0.947
1630, 0.943
1634, 0.923
1638, 0.902
1642, 0.853
1646, 0.812
1650, 0.749
1654, 0.801
1658, 0.811
1662, 0.776
1666, 0.812
1670, 0.886
1674, 0.922
1678, 0.949
1682, 0.942
1686, 0.971
1690, 0.955
1694, 0.964
1698, 0.967
1702, 0.987
1706, 0.971
1710, 0.973
1714, 0.978
1718, 0.987
1722, 0.977
1726, 0.978
1730, 0.984
1734, 0.980
1738, 0.989
1742, 0.975
1746, 0.981
1750, 0.982
1754, 0.981
1758, 0.975
1762, 0.981
1766, 0.977
1770, 0.979
1774, 0.986
1778, 0.973
1782, 0.982
1786, 0.967
1790, 0.981
1794, 0.972
1798, 0.974
1802, 0.972
1806, 0.972
1810, 0.972
1814, 0.975
1818, 0.972
1822, 0.971
1826, 0.978
1830, 0.972
1834, 0.978
1838, 0.968
1842, 0.982
1846, 0.979
1850, 0.980
1854, 0.977
1858, 0.981
1862, 0.978
1866, 0.982
1870, 0.986
1874, 0.979
1878, 0.983
1882, 0.979
1886, 0.984
1890, 0.982
1894, 0.984
1898, 0.982
1902, 0.982
1906, 0.983
1910, 0.983
1914, 0.984
1918, 0.985
1922, 0.984
1926, 0.985
1930, 0.982
1934, 0.983
1938, 0.983
1942, 0.986
1946, 0.984
1950, 0.985
1954, 0.984
1958, 0.985
1962, 0.984
1966, 0.987
1970, 0.984
1974, 0.985
1978, 0.984
1982, 0.984
1986, 0.983
1990, 0.985
1994, 0.985
1998, 0.983
2002, 0.984
2006, 0.983
2010, 0.983
2014, 0.983
2018, 0.985
2022, 0.984
2026, 0.984
2030, 0.984
2034, 0.983
2038, 0.984
2042, 0.983
2046, 0.983
2050, 0.982
2054, 0.983
2058, 0.982
2062, 0.983
2066, 0.983
2070, 0.983
2074, 0.982
2078, 0.980
2082, 0.976
2086, 0.972
2090, 0.971
2094, 0.969
2098, 0.969
2102, 0.968
2106, 0.971
2110, 0.980
2114, 0.984
2118, 0.985
2122, 0.984
2126, 0.985
2130, 0.985
2134, 0.986
2138, 0.985
2142, 0.986
2146, 0.986
2150, 0.986
2154, 0.986
2158, 0.986
2162, 0.986
2166, 0.985
2170, 0.986
2174, 0.985
2178, 0.986
2182, 0.986
2186, 0.986
2190, 0.986
2194, 0.987
2198, 0.986
2202, 0.987
2206, 0.987
2210, 0.986
2214, 0.987
2218, 0.986
2222, 0.987
2226, 0.987
2230, 0.987
2234, 0.987
2238, 0.987
2242, 0.987
2246, 0.986
2250, 0.987
2254, 0.987
2258, 0.987
2262, 0.986
2266, 0.987
2270, 0.985
