Energy(1/cm),Absorbance
3.500016e+002,-8.311337e-004
3.500167e+002,-8.856307e-004
3.500318e+002,-9.605861e-004
3.500468e+002,-1.038503e-003
3.500619e+002,-1.104245e-003
3.500770e+002,-1.147141e-003
3.500920e+002,-1.161186e-003
3.501071e+002,-1.145324e-003
3.501222e+002,-1.102857e-003
3.501372e+002,-1.042073e-003
3.501523e+002,-9.763559e-004
3.501674e+002,-9.247467e-004
3.501824e+002,-9.059000e-004
3.501975e+002,-9.316239e-004
3.502126e+002,-1.001613e-003
3.502276e+002,-1.100477e-003
3.502427e+002,-1.201202e-003
3.502578e+002,-1.274716e-003
3.502728e+002,-1.300781e-003
3.502879e+002,-1.277920e-003
3.503030e+002,-1.225323e-003
3.503180e+002,-1.175660e-003
3.503331e+002,-1.163565e-003
3.503482e+002,-1.212569e-003
3.503632e+002,-1.326548e-003
3.503783e+002,-1.489931e-003
3.503934e+002,-1.672265e-003
3.504084e+002,-1.840171e-003
3.504235e+002,-1.963782e-003
3.504386e+002,-2.018236e-003
3.504536e+002,-1.983506e-003
3.504687e+002,-1.842118e-003
3.504838e+002,-1.581752e-003
3.504988e+002,-1.200641e-003
3.505139e+002,-7.166940e-004
3.505290e+002,-1.749456e-004
3.505440e+002,3.578957e-004
3.505591e+002,8.076638e-004
3.505742e+002,1.112873e-003
3.505892e+002,1.243144e-003
3.506043e+002,1.209518e-003
3.506194e+002,1.057268e-003
3.506344e+002,8.474673e-004
3.506495e+002,6.318285e-004
3.506646e+002,4.368600e-004
3.506796e+002,2.621362e-004
3.506947e+002,9.003452e-005
3.507097e+002,-9.568057e-005
3.507248e+002,-2.936671e-004
3.507399e+002,-4.800125e-004
3.507549e+002,-6.177091e-004
3.507700e+002,-6.772616e-004
3.507851e+002,-6.533423e-004
3.508001e+002,-5.717489e-004
3.508152e+002,-4.816674e-004
3.508303e+002,-4.353949e-004
3.508453e+002,-4.668396e-004
3.508604e+002,-5.789957e-004
3.508755e+002,-7.423959e-004
3.508906e+002,-9.143646e-004
3.509056e+002,-1.056782e-003
3.509207e+002,-1.153189e-003
