# wavenumber, absorbance
6.500249999999999773e+02,1.709622800000000151e-02
6.500851428571428414e+02,1.525072800000000159e-02
6.501452857142857056e+02,1.503059800000000092e-02
6.502054285714285697e+02,1.666753200000000226e-02
6.502655714285714339e+02,1.766267600000000215e-02
6.503257142857142981e+02,1.682890199999999975e-02
6.503858571428571622e+02,1.725265800000000058e-02
6.504460000000000264e+02,1.816238200000000122e-02
6.505062857142856956e+02,1.648938999999999960e-02
6.505665714285714785e+02,1.514888400000000135e-02
6.506268571428571477e+02,1.558868900000000106e-02
6.506871428571429306e+02,1.711628800000000034e-02
6.507474285714285998e+02,1.716588800000000067e-02
6.508077142857143826e+02,1.640108800000000117e-02
6.508680000000000518e+02,1.690461400000000183e-02
6.509282857142857210e+02,1.749854800000000266e-02
6.509885714285715039e+02,1.570132000000000125e-02
6.510488571428571731e+02,1.438474700000000155e-02
6.511091428571428423e+02,1.512322000000000145e-02
6.511694285714285115e+02,1.636299899999999960e-02
6.512297142857142944e+02,1.558319300000000039e-02
6.512899999999999636e+02,1.500710300000000080e-02
6.513501428571428278e+02,1.653320500000000220e-02
6.514102857142856919e+02,1.690368600000000110e-02
6.514704285714285561e+02,1.593615900000000182e-02
6.515305714285714203e+02,1.633599000000000162e-02
6.515907142857142844e+02,1.690062000000000161e-02
6.516508571428571486e+02,1.585741700000000212e-02
6.517110000000000127e+02,1.472155500000000075e-02
6.517712857142856819e+02,1.594653900000000263e-02
6.518315714285714648e+02,1.752373000000000125e-02
6.518918571428571340e+02,1.707448200000000194e-02
6.519521428571429169e+02,1.590377999999999931e-02
6.520124285714285861e+02,1.649940600000000118e-02
6.520727142857143690e+02,1.789989000000000163e-02
6.521330000000000382e+02,1.726182799999999989e-02
6.521932857142857074e+02,1.627148700000000114e-02
6.522535714285714903e+02,1.662628500000000106e-02
6.523138571428571595e+02,1.600525200000000106e-02
6.523741428571428287e+02,1.428225000000000154e-02
6.524344285714284979e+02,1.405545700000000037e-02
6.524947142857142808e+02,1.520169100000000155e-02
6.525549999999999500e+02,1.600635200000000147e-02
6.526151428571428141e+02,1.617050400000000221e-02
6.526752857142856783e+02,1.636131300000000233e-02
6.527354285714285425e+02,1.650171200000000171e-02
6.527955714285714066e+02,1.539252000000000155e-02
6.528557142857142708e+02,1.373995800000000003e-02
6.529158571428571349e+02,1.481798500000000053e-02
6.529759999999999991e+02,1.717126600000000100e-02
6.530362857142856683e+02,1.683468999999999938e-02
6.530965714285714512e+02,1.611159600000000233e-02
6.531568571428571204e+02,1.682931600000000041e-02
6.532171428571429033e+02,1.673416000000000139e-02
6.532774285714285725e+02,1.529702600000000176e-02
6.533377142857143554e+02,1.496186500000000127e-02
6.533980000000000246e+02,1.633629900000000204e-02
6.534582857142856938e+02,1.729541000000000064e-02
6.535185714285714766e+02,1.588790099999999941e-02
6.535788571428571458e+02,1.592295999999999989e-02
6.536391428571429287e+02,1.786080599999999990e-02
6.536994285714285979e+02,1.746470599999999998e-02
6.537597142857143808e+02,1.543969100000000018e-02
6.538200000000000500e+02,1.546654100000000032e-02
6.538801428571429142e+02,1.656831400000000065e-02
6.539402857142857783e+02,1.630434000000000050e-02
6.540004285714286425e+02,1.580779600000000243e-02
6.540605714285713930e+02,1.618278199999999972e-02
6.541207142857142571e+02,1.629591200000000267e-02
6.541808571428571213e+02,1.528141000000000048e-02
6.542409999999999854e+02,1.516463200000000081e-02
6.543012857142856546e+02,1.619767400000000218e-02
6.543615714285714375e+02,1.596224700000000232e-02
6.544218571428571067e+02,1.444510000000000065e-02
6.544821428571428896e+02,1.483780100000000116e-02
6.545424285714285588e+02,1.638760000000000217e-02
6.546027142857143417e+02,1.648677500000000212e-02
6.546630000000000109e+02,1.536931400000000024e-02
6.547232857142856801e+02,1.527725700000000068e-02
6.547835714285714630e+02,1.586504700000000018e-02
6.548438571428571322e+02,1.540618300000000038e-02
6.549041428571429151e+02,1.513344400000000110e-02
6.549644285714285843e+02,1.575917599999999974e-02
6.550247142857143672e+02,1.532729900000000083e-02
6.550850000000000364e+02,1.430762400000000142e-02
6.551452857142857056e+02,1.406083000000000159e-02
6.552055714285714885e+02,1.464481700000000094e-02
6.552658571428571577e+02,1.550348700000000156e-02
6.553261428571428269e+02,1.473924100000000015e-02
6.553864285714284961e+02,1.464108100000000023e-02
6.554467142857142790e+02,1.616875100000000204e-02
6.555069999999999482e+02,1.638601700000000272e-02
6.555671428571428123e+02,1.488254700000000118e-02
6.556272857142856765e+02,1.451419700000000125e-02
6.556874285714285406e+02,1.553065000000000175e-02
6.557475714285714048e+02,1.657909000000000119e-02
6.558077142857142690e+02,1.669772900000000143e-02
6.558678571428571331e+02,1.674989800000000265e-02
6.559279999999999973e+02,1.670523500000000230e-02
6.559882857142856665e+02,1.566861599999999979e-02
6.560485714285714494e+02,1.451597800000000056e-02
6.561088571428571186e+02,1.493676100000000152e-02
6.561691428571429014e+02,1.529458900000000079e-02
6.562294285714285706e+02,1.549291100000000157e-02
6.562897142857143535e+02,1.610155599999999951e-02
6.563500000000000227e+02,1.655103500000000213e-02
6.564102857142856919e+02,1.594172599999999981e-02
6.564705714285714748e+02,1.438923500000000022e-02
6.565308571428571440e+02,1.439183800000000055e-02
6.565911428571429269e+02,1.571162599999999937e-02
6.566514285714285961e+02,1.577711099999999991e-02
6.567117142857143790e+02,1.538864100000000151e-02
6.567720000000000482e+02,1.589178500000000202e-02
6.568321428571429124e+02,1.652990099999999962e-02
6.568922857142857765e+02,1.531998800000000140e-02
6.569524285714286407e+02,1.381113300000000148e-02
6.570125714285713912e+02,1.487284200000000070e-02
6.570727142857142553e+02,1.619255000000000000e-02
6.571328571428571195e+02,1.566188400000000092e-02
6.571929999999999836e+02,1.500134100000000137e-02
6.572532857142856528e+02,1.602986800000000267e-02
6.573135714285714357e+02,1.577357199999999959e-02
6.573738571428571049e+02,1.408328200000000079e-02
6.574341428571428878e+02,1.442215000000000164e-02
6.574944285714285570e+02,1.548903100000000033e-02
6.575547142857143399e+02,1.568163600000000227e-02
6.576150000000000091e+02,1.475326200000000136e-02
6.576752857142856783e+02,1.446215900000000047e-02
6.577355714285714612e+02,1.530066400000000028e-02
6.577958571428571304e+02,1.522505800000000138e-02
6.578561428571429133e+02,1.431909600000000164e-02
6.579164285714285825e+02,1.422198900000000085e-02
6.579767142857143654e+02,1.517883800000000179e-02
6.580370000000000346e+02,1.552319700000000073e-02
6.580971428571428987e+02,1.438765900000000056e-02
6.581572857142857629e+02,1.434080700000000055e-02
6.582174285714286270e+02,1.488124400000000007e-02
6.582775714285713775e+02,1.421103300000000139e-02
6.583377142857142417e+02,1.387800800000000070e-02
6.583978571428571058e+02,1.457604100000000139e-02
6.584579999999999700e+02,1.498378000000000036e-02
6.585182857142856392e+02,1.398304500000000124e-02
6.585785714285714221e+02,1.382413000000000045e-02
6.586388571428570913e+02,1.502679100000000115e-02
6.586991428571428742e+02,1.550860300000000101e-02
6.587594285714285434e+02,1.403588100000000005e-02
6.588197142857143263e+02,1.395858000000000168e-02
6.588799999999999955e+02,1.488035200000000120e-02
6.589402857142856647e+02,1.504644600000000151e-02
6.590005714285714475e+02,1.526915700000000022e-02
6.590608571428571167e+02,1.551619300000000104e-02
6.591211428571428996e+02,1.553497600000000069e-02
6.591814285714285688e+02,1.473457900000000112e-02
6.592417142857143517e+02,1.375182500000000051e-02
6.593020000000000209e+02,1.390883200000000118e-02
6.593621428571428851e+02,1.471617300000000080e-02
6.594222857142857492e+02,1.479498100000000045e-02
6.594824285714286134e+02,1.487304800000000156e-02
6.595425714285713639e+02,1.584253799999999976e-02
6.596027142857142280e+02,1.618529299999999990e-02
6.596628571428570922e+02,1.520151800000000067e-02
6.597229999999999563e+02,1.450645500000000143e-02
6.597832857142856255e+02,1.588085700000000169e-02
6.598435714285714084e+02,1.662263599999999966e-02
6.599038571428570776e+02,1.572028400000000103e-02
6.599641428571428605e+02,1.553504400000000132e-02
6.600244285714285297e+02,1.561297100000000153e-02
6.600847142857143126e+02,1.511893100000000038e-02
6.601449999999999818e+02,1.435121800000000065e-02
6.602052857142856510e+02,1.461908000000000131e-02
6.602655714285714339e+02,1.581085500000000213e-02
6.603258571428571031e+02,1.570427400000000071e-02
6.603861428571428860e+02,1.486842000000000025e-02
6.604464285714285552e+02,1.509073200000000080e-02
6.605067142857143381e+02,1.559102300000000073e-02
6.605670000000000073e+02,1.497067900000000062e-02
6.606272857142856765e+02,1.437166400000000101e-02
6.606875714285714594e+02,1.464091000000000177e-02
6.607478571428571286e+02,1.525446900000000140e-02
6.608081428571429115e+02,1.488385000000000055e-02
6.608684285714285807e+02,1.485713900000000011e-02
6.609287142857143635e+02,1.584205600000000019e-02
